ssn,manager_id,department_id,job_id,first_name,last_name,gender,birth_date,home_address,phone_number,email,staff_password,wage,hire_date,employment_type,employment_status,job_change_history_document_id
262800986,,8,1,Staff112,Last15,F,1974-11-20,"806 Cedar Blvd, Anytown, USA",555-9274,staff112.last15@hospital.com,password123,62420.01,2024-08-14,Full_Time,Active,JCH6445
643209273,,1,4,Staff296,Last443,F,1992-12-29,"107 Main St, Anytown, USA",555-8737,staff296.last443@healthcare.net,password123,35430.98,2024-08-14,Shift_Based,Active,JCH4022
652002039,,6,2,Staff644,Last908,M,1988-05-19,"994 Pine St, Anytown, USA",555-1978,staff644.last908@clinic.org,password123,199917.7,2024-08-14,Full_Time,Active,JCH4754
473461590,,3,1,Staff736,Last615,M,1975-01-11,"785 Oak St, Anytown, USA",555-6067,staff736.last615@clinic.org,password123,51187.67,2024-08-14,Full_Time,Active,JCH6551
136008611,,3,2,Staff982,Last667,F,1999-08-21,"627 Maple Ave, Anytown, USA",555-8731,staff982.last667@healthcare.net,password123,206544.76,2024-08-14,Full_Time,Active,JCH7837
246791942,,6,2,Staff744,Last751,M,1990-12-19,"678 Oak St, Anytown, USA",555-5201,staff744.last751@clinic.org,password123,214469.07,2024-08-14,Shift_Based,Active,JCH4178
458470153,,3,3,Staff970,Last397,F,1975-09-13,"799 Oak St, Anytown, USA",555-2795,staff970.last397@clinic.org,password123,66696.1,2024-08-14,Full_Time,Active,JCH9150
341179724,,8,1,Staff680,Last800,F,1967-08-31,"906 Cedar Blvd, Anytown, USA",555-9980,staff680.last800@clinic.org,password123,54000.56,2024-08-14,Full_Time,Active,JCH3055
761093529,,9,3,Staff849,Last281,M,1969-07-01,"950 Oak St, Anytown, USA",555-2074,staff849.last281@healthcare.net,password123,68006.66,2024-08-14,Full_Time,Active,JCH3078
572448652,,3,1,Staff442,Last830,F,1967-04-25,"744 Maple Ave, Anytown, USA",555-5174,staff442.last830@clinic.org,password123,62848.57,2024-08-14,Shift_Based,Active,JCH7968
851257682,,9,2,Staff485,Last436,M,1968-02-01,"105 Pine St, Anytown, USA",555-8946,staff485.last436@clinic.org,password123,216036.62,2024-08-14,Shift_Based,Active,JCH8129
668705361,,6,5,Staff204,Last135,M,1991-04-03,"510 Maple Ave, Anytown, USA",555-6494,staff204.last135@hospital.com,password123,76480.27,2024-08-14,Shift_Based,Active,JCH5099
953342364,,7,1,Staff213,Last661,M,1980-09-23,"385 Cedar Blvd, Anytown, USA",555-7949,staff213.last661@hospital.com,password123,49722.34,2024-08-14,Shift_Based,Active,JCH2858
454744743,,3,1,Staff666,Last286,F,1994-08-28,"367 Maple Ave, Anytown, USA",555-5505,staff666.last286@healthcare.net,password123,47725.9,2024-08-14,Full_Time,Active,JCH8772
982918395,,10,2,Staff197,Last903,M,1978-01-02,"328 Pine St, Anytown, USA",555-5156,staff197.last903@healthcare.net,password123,240610.84,2024-08-14,Full_Time,Active,JCH7094
261114779,,10,2,Staff266,Last771,F,1975-02-26,"321 Oak St, Anytown, USA",555-7094,staff266.last771@hospital.com,password123,170522.85,2024-08-14,Full_Time,Active,JCH5836
